"sector","year","scenario","region","pct_change"
"Industry",2020,"Hot/Dry","Samtskhe-Javakheti",-0.0184
"Services",2020,"Hot/Dry","Samtskhe-Javakheti",-0.0042
"Agriculture",2020,"Hot/Dry","Ajaria",-0.8765
"Industry",2020,"Hot/Dry","Ajaria",-0.1582
"Services",2020,"Hot/Dry","Ajaria",-0.0462
"Agriculture",2020,"Hot/Dry","Kvemo Kartli",-0.4663
"Industry",2020,"Hot/Dry","Kvemo Kartli",-0.493
"Services",2020,"Hot/Dry","Kvemo Kartli",-0.1109
"Agriculture",2020,"Hot/Dry","Guria",-2.1823
"Industry",2020,"Hot/Dry","Guria",-0.893
"Services",2020,"Hot/Dry","Guria",-0.2441
"Agriculture",2020,"Hot/Dry","Tbilisi",-1.0215
"Industry",2020,"Hot/Dry","Tbilisi",-0.5
"Services",2020,"Hot/Dry","Tbilisi",-0.1453
"Agriculture",2020,"Hot/Dry","Imereti",-1.237
"Industry",2020,"Hot/Dry","Imereti",-1.0462
"Services",2020,"Hot/Dry","Imereti",-0.1379
"Agriculture",2020,"Median","Abkhazia",-0.5664
"Industry",2020,"Median","Abkhazia",-0.2555
"Services",2020,"Median","Abkhazia",-0.0454
"Agriculture",2020,"Median","Samegrelo-Zemo Svaneti",-1.6288
"Industry",2020,"Median","Samegrelo-Zemo Svaneti",-0.7269
"Services",2020,"Median","Samegrelo-Zemo Svaneti",-0.2343
"Agriculture",2020,"Median","Shida Kartli",-0.1213
"Industry",2020,"Median","Shida Kartli",-0.0366
"Services",2020,"Median","Shida Kartli",-0.0061
"Agriculture",2020,"Median","Racha-Lechkhumi-Kvemo Svaneti",-0.6957
"Industry",2020,"Median","Racha-Lechkhumi-Kvemo Svaneti",-0.5507
"Services",2020,"Median","Racha-Lechkhumi-Kvemo Svaneti",-0.0627
"Agriculture",2020,"Median","Mtskheta-Mtianeti",-0.229
"Industry",2020,"Median","Mtskheta-Mtianeti",-0.1101
"Services",2020,"Median","Mtskheta-Mtianeti",-0.0155
"Agriculture",2020,"Median","Kakheti",-1.1485
"Industry",2020,"Median","Kakheti",-0.3644
"Services",2020,"Median","Kakheti",-0.1009
"Agriculture",2020,"Median","Samtskhe-Javakheti",-0.0425
"Industry",2020,"Median","Samtskhe-Javakheti",-0.0118
"Services",2020,"Median","Samtskhe-Javakheti",-0.0022
"Agriculture",2020,"Median","Ajaria",-0.5026
"Industry",2020,"Median","Ajaria",-0.0694
"Services",2020,"Median","Ajaria",-0.0173
"Agriculture",2020,"Median","Kvemo Kartli",-0.3599
"Industry",2020,"Median","Kvemo Kartli",-0.3681
"Services",2020,"Median","Kvemo Kartli",-0.0775
"Agriculture",2020,"Median","Guria",-1.3976
"Industry",2020,"Median","Guria",-0.5058
"Services",2020,"Median","Guria",-0.1176
"Agriculture",2020,"Median","Tbilisi",-0.774
"Industry",2020,"Median","Tbilisi",-0.3731
"Services",2020,"Median","Tbilisi",-0.1019
"Agriculture",2020,"Median","Imereti",-0.8101
"Industry",2020,"Median","Imereti",-0.5909
"Services",2020,"Median","Imereti",-0.0791
"Agriculture",2021,"Warm/Wet","Abkhazia",-1.0247
"Industry",2021,"Warm/Wet","Abkhazia",-0.4403
"Services",2021,"Warm/Wet","Abkhazia",-0.0999
"Agriculture",2021,"Warm/Wet","Samegrelo-Zemo Svaneti",-2.5121
"Industry",2021,"Warm/Wet","Samegrelo-Zemo Svaneti",-1.1984
"Services",2021,"Warm/Wet","Samegrelo-Zemo Svaneti",-0.4206
"Agriculture",2021,"Warm/Wet","Shida Kartli",-0.1869
"Industry",2021,"Warm/Wet","Shida Kartli",-0.0568
"Services",2021,"Warm/Wet","Shida Kartli",-0.0107
"Agriculture",2021,"Warm/Wet","Racha-Lechkhumi-Kvemo Svaneti",-1.2396
"Industry",2021,"Warm/Wet","Racha-Lechkhumi-Kvemo Svaneti",-1.0082
"Services",2021,"Warm/Wet","Racha-Lechkhumi-Kvemo Svaneti",-0.141
"Agriculture",2021,"Warm/Wet","Mtskheta-Mtianeti",-0.3027
"Industry",2021,"Warm/Wet","Mtskheta-Mtianeti",-0.1637
"Services",2021,"Warm/Wet","Mtskheta-Mtianeti",-0.0215
"Agriculture",2021,"Warm/Wet","Kakheti",-1.5499
"Industry",2021,"Warm/Wet","Kakheti",-0.5013
"Services",2021,"Warm/Wet","Kakheti",-0.1517
"Agriculture",2021,"Warm/Wet","Samtskhe-Javakheti",-0.0718
"Industry",2021,"Warm/Wet","Samtskhe-Javakheti",-0.0244
"Services",2021,"Warm/Wet","Samtskhe-Javakheti",-0.0054
"Agriculture",2021,"Warm/Wet","Ajaria",-1.05
"Industry",2021,"Warm/Wet","Ajaria",-0.1842
"Services",2021,"Warm/Wet","Ajaria",-0.0517
"Agriculture",2021,"Warm/Wet","Kvemo Kartli",-0.4182
"Industry",2021,"Warm/Wet","Kvemo Kartli",-0.4081
"Services",2021,"Warm/Wet","Kvemo Kartli",-0.0857
"Agriculture",2021,"Warm/Wet","Guria",-2.3335
"Industry",2021,"Warm/Wet","Guria",-0.9551
"Services",2021,"Warm/Wet","Guria",-0.2596
"Agriculture",2021,"Warm/Wet","Tbilisi",-0.866
"Industry",2021,"Warm/Wet","Tbilisi",-0.4117
"Services",2021,"Warm/Wet","Tbilisi",-0.1098
"Agriculture",2021,"Warm/Wet","Imereti",-1.4253
"Industry",2021,"Warm/Wet","Imereti",-1.0769
"Services",2021,"Warm/Wet","Imereti",-0.1765
"Agriculture",2021,"Hot/Dry","Abkhazia",-1.4519
"Industry",2021,"Hot/Dry","Abkhazia",-0.6994
"Services",2021,"Hot/Dry","Abkhazia",-0.1691
"Agriculture",2021,"Hot/Dry","Samegrelo-Zemo Svaneti",-2.9883
"Industry",2021,"Hot/Dry","Samegrelo-Zemo Svaneti",-1.527
"Services",2021,"Hot/Dry","Samegrelo-Zemo Svaneti",-0.5698
"Agriculture",2021,"Hot/Dry","Shida Kartli",-0.2062
"Industry",2021,"Hot/Dry","Shida Kartli",-0.0646
"Services",2021,"Hot/Dry","Shida Kartli",-0.0117
"Agriculture",2021,"Hot/Dry","Racha-Lechkhumi-Kvemo Svaneti",-1.192
"Industry",2021,"Hot/Dry","Racha-Lechkhumi-Kvemo Svaneti",-0.9839
"Services",2021,"Hot/Dry","Racha-Lechkhumi-Kvemo Svaneti",-0.1311
"Agriculture",2021,"Hot/Dry","Mtskheta-Mtianeti",-0.3496
"Industry",2021,"Hot/Dry","Mtskheta-Mtianeti",-0.1767
"Services",2021,"Hot/Dry","Mtskheta-Mtianeti",-0.0273
"Agriculture",2021,"Hot/Dry","Kakheti",-1.4955
"Industry",2021,"Hot/Dry","Kakheti",-0.4857
"Services",2021,"Hot/Dry","Kakheti",-0.1448
"Agriculture",2021,"Hot/Dry","Samtskhe-Javakheti",-0.0557
"Industry",2021,"Hot/Dry","Samtskhe-Javakheti",-0.0177
"Services",2021,"Hot/Dry","Samtskhe-Javakheti",-0.0036
"Agriculture",2021,"Hot/Dry","Ajaria",-1.1021
"Industry",2021,"Hot/Dry","Ajaria",-0.201
"Services",2021,"Hot/Dry","Ajaria",-0.0583
"Agriculture",2021,"Hot/Dry","Kvemo Kartli",-0.4744
"Industry",2021,"Hot/Dry","Kvemo Kartli",-0.579
"Services",2021,"Hot/Dry","Kvemo Kartli",-0.1366
"Agriculture",2021,"Hot/Dry","Guria",-2.4946
"Industry",2021,"Hot/Dry","Guria",-1.0193
"Services",2021,"Hot/Dry","Guria",-0.2789
"Agriculture",2021,"Hot/Dry","Tbilisi",-1.1482
"Industry",2021,"Hot/Dry","Tbilisi",-0.5944
"Services",2021,"Hot/Dry","Tbilisi",-0.1855
"Agriculture",2021,"Hot/Dry","Imereti",-1.4633
"Industry",2021,"Hot/Dry","Imereti",-1.065
"Services",2021,"Hot/Dry","Imereti",-0.1761
"Agriculture",2021,"Median","Abkhazia",-0.9481
"Industry",2021,"Median","Abkhazia",-0.4306
"Services",2021,"Median","Abkhazia",-0.09
"Agriculture",2021,"Median","Samegrelo-Zemo Svaneti",-2.5434
"Industry",2021,"Median","Samegrelo-Zemo Svaneti",-1.2011
"Services",2021,"Median","Samegrelo-Zemo Svaneti",-0.4406
"Agriculture",2021,"Median","Shida Kartli",-0.2283
"Industry",2021,"Median","Shida Kartli",-0.0727
"Services",2021,"Median","Shida Kartli",-0.0136
"Agriculture",2021,"Median","Racha-Lechkhumi-Kvemo Svaneti",-1.2342
"Industry",2021,"Median","Racha-Lechkhumi-Kvemo Svaneti",-0.9207
"Services",2021,"Median","Racha-Lechkhumi-Kvemo Svaneti",-0.1333
"Agriculture",2021,"Median","Mtskheta-Mtianeti",-0.3881
"Industry",2021,"Median","Mtskheta-Mtianeti",-0.2085
"Services",2021,"Median","Mtskheta-Mtianeti",-0.0322
"Agriculture",2021,"Median","Kakheti",-1.4792
"Industry",2021,"Median","Kakheti",-0.5074
"Services",2021,"Median","Kakheti",-0.1465
"Agriculture",2021,"Median","Samtskhe-Javakheti",-0.0904
"Industry",2021,"Median","Samtskhe-Javakheti",-0.0296
"Services",2021,"Median","Samtskhe-Javakheti",-0.0065
"Agriculture",2021,"Median","Ajaria",-1.0104
"Industry",2021,"Median","Ajaria",-0.1776
"Services",2021,"Median","Ajaria",-0.0506
"Agriculture",2021,"Median","Kvemo Kartli",-0.5229
"Industry",2021,"Median","Kvemo Kartli",-0.5893
"Services",2021,"Median","Kvemo Kartli",-0.1331
"Agriculture",2021,"Median","Guria",-2.335
"Industry",2021,"Median","Guria",-0.9434
"Services",2021,"Median","Guria",-0.259
"Agriculture",2021,"Median","Tbilisi",-1.205
"Industry",2021,"Median","Tbilisi",-0.6017
"Services",2021,"Median","Tbilisi",-0.1763
"Agriculture",2021,"Median","Imereti",-1.4261
"Industry",2021,"Median","Imereti",-0.9879
"Services",2021,"Median","Imereti",-0.1604
"Agriculture",2022,"Warm/Wet","Abkhazia",-0.9078
"Industry",2022,"Warm/Wet","Abkhazia",-0.4059
"Services",2022,"Warm/Wet","Abkhazia",-0.0853
"Agriculture",2022,"Warm/Wet","Samegrelo-Zemo Svaneti",-2.4428
"Industry",2022,"Warm/Wet","Samegrelo-Zemo Svaneti",-1.2212
"Services",2022,"Warm/Wet","Samegrelo-Zemo Svaneti",-0.4302
"Agriculture",2022,"Warm/Wet","Shida Kartli",-0.2429
"Industry",2022,"Warm/Wet","Shida Kartli",-0.0792
"Services",2022,"Warm/Wet","Shida Kartli",-0.0144
"Agriculture",2022,"Warm/Wet","Racha-Lechkhumi-Kvemo Svaneti",-1.2541
"Industry",2022,"Warm/Wet","Racha-Lechkhumi-Kvemo Svaneti",-0.9568
"Services",2022,"Warm/Wet","Racha-Lechkhumi-Kvemo Svaneti",-0.1435
"Agriculture",2022,"Warm/Wet","Mtskheta-Mtianeti",-0.4622
"Industry",2022,"Warm/Wet","Mtskheta-Mtianeti",-0.2541
"Services",2022,"Warm/Wet","Mtskheta-Mtianeti",-0.0402
"Agriculture",2022,"Warm/Wet","Kakheti",-2.3199
"Industry",2022,"Warm/Wet","Kakheti",-0.8477
"Services",2022,"Warm/Wet","Kakheti",-0.2995
"Agriculture",2022,"Warm/Wet","Samtskhe-Javakheti",-0.0805
"Industry",2022,"Warm/Wet","Samtskhe-Javakheti",-0.0229
"Services",2022,"Warm/Wet","Samtskhe-Javakheti",-0.0053
"Agriculture",2022,"Warm/Wet","Ajaria",-0.9079
"Industry",2022,"Warm/Wet","Ajaria",-0.1646
"Services",2022,"Warm/Wet","Ajaria",-0.0454
"Agriculture",2022,"Warm/Wet","Kvemo Kartli",-0.7298
"Industry",2022,"Warm/Wet","Kvemo Kartli",-0.7347
"Services",2022,"Warm/Wet","Kvemo Kartli",-0.1876
"Agriculture",2022,"Warm/Wet","Guria",-2.0558
"Industry",2022,"Warm/Wet","Guria",-0.8261
"Services",2022,"Warm/Wet","Guria",-0.2167
"Agriculture",2022,"Warm/Wet","Tbilisi",-1.4285
"Industry",2022,"Warm/Wet","Tbilisi",-0.7413
"Services",2022,"Warm/Wet","Tbilisi",-0.2385
"Agriculture",2022,"Warm/Wet","Imereti",-1.4293
"Industry",2022,"Warm/Wet","Imereti",-1.0325
"Services",2022,"Warm/Wet","Imereti",-0.1828
"Agriculture",2022,"Hot/Dry","Abkhazia",-1.3829
"Industry",2022,"Hot/Dry","Abkhazia",-0.6744
"Services",2022,"Hot/Dry","Abkhazia",-0.1497
"Agriculture",2022,"Hot/Dry","Samegrelo-Zemo Svaneti",-3.3364
"Industry",2022,"Hot/Dry","Samegrelo-Zemo Svaneti",-1.6673
"Services",2022,"Hot/Dry","Samegrelo-Zemo Svaneti",-0.6246
"Agriculture",2022,"Hot/Dry","Shida Kartli",-0.2085
"Industry",2022,"Hot/Dry","Shida Kartli",-0.0715
"Services",2022,"Hot/Dry","Shida Kartli",-0.0135
"Agriculture",2022,"Hot/Dry","Racha-Lechkhumi-Kvemo Svaneti",-1.277
"Industry",2022,"Hot/Dry","Racha-Lechkhumi-Kvemo Svaneti",-1.0367
"Services",2022,"Hot/Dry","Racha-Lechkhumi-Kvemo Svaneti",-0.1427
"Agriculture",2022,"Hot/Dry","Mtskheta-Mtianeti",-0.3567
"Industry",2022,"Hot/Dry","Mtskheta-Mtianeti",-0.179
"Services",2022,"Hot/Dry","Mtskheta-Mtianeti",-0.0252
"Agriculture",2022,"Hot/Dry","Kakheti",-1.6518
"Industry",2022,"Hot/Dry","Kakheti",-0.5435
"Services",2022,"Hot/Dry","Kakheti",-0.1606
"Agriculture",2022,"Hot/Dry","Samtskhe-Javakheti",-0.0583
"Industry",2022,"Hot/Dry","Samtskhe-Javakheti",-0.0199
"Services",2022,"Hot/Dry","Samtskhe-Javakheti",-0.0051
"Agriculture",2022,"Hot/Dry","Ajaria",-1.3117
"Industry",2022,"Hot/Dry","Ajaria",-0.2407
"Services",2022,"Hot/Dry","Ajaria",-0.0701
"Agriculture",2022,"Hot/Dry","Kvemo Kartli",-0.4768
"Industry",2022,"Hot/Dry","Kvemo Kartli",-0.5271
"Services",2022,"Hot/Dry","Kvemo Kartli",-0.1147
"Agriculture",2022,"Hot/Dry","Guria",-2.9402
"Industry",2022,"Hot/Dry","Guria",-1.1947
"Services",2022,"Hot/Dry","Guria",-0.3347
"Agriculture",2022,"Hot/Dry","Tbilisi",-1.0879
"Industry",2022,"Hot/Dry","Tbilisi",-0.5366
"Services",2022,"Hot/Dry","Tbilisi",-0.1537
"Agriculture",2022,"Hot/Dry","Imereti",-1.5359
"Industry",2022,"Hot/Dry","Imereti",-1.12
"Services",2022,"Hot/Dry","Imereti",-0.1857
"Agriculture",2022,"Median","Abkhazia",-0.4659
"Industry",2022,"Median","Abkhazia",-0.2045
"Services",2022,"Median","Abkhazia",-0.0348
"Agriculture",2022,"Median","Samegrelo-Zemo Svaneti",-1.4689
"Industry",2022,"Median","Samegrelo-Zemo Svaneti",-0.6123
"Services",2022,"Median","Samegrelo-Zemo Svaneti",-0.1796
"Agriculture",2022,"Median","Shida Kartli",-0.118
"Industry",2022,"Median","Shida Kartli",-0.0373
"Services",2022,"Median","Shida Kartli",-0.006
"Agriculture",2022,"Median","Racha-Lechkhumi-Kvemo Svaneti",-0.8002
"Industry",2022,"Median","Racha-Lechkhumi-Kvemo Svaneti",-0.6825
"Services",2022,"Median","Racha-Lechkhumi-Kvemo Svaneti",-0.0768
"Agriculture",2022,"Median","Mtskheta-Mtianeti",-0.2321
"Industry",2022,"Median","Mtskheta-Mtianeti",-0.1302
"Services",2022,"Median","Mtskheta-Mtianeti",-0.0172
"Agriculture",2022,"Median","Kakheti",-1.2806
"Industry",2022,"Median","Kakheti",-0.4031
"Services",2022,"Median","Kakheti",-0.1113
"Agriculture",2022,"Median","Samtskhe-Javakheti",-0.0367
"Industry",2022,"Median","Samtskhe-Javakheti",-0.0105
"Services",2022,"Median","Samtskhe-Javakheti",-0.0019
"Agriculture",2022,"Median","Ajaria",-0.5916
"Industry",2022,"Median","Ajaria",-0.0707
"Services",2022,"Median","Ajaria",-0.0191
"Agriculture",2022,"Median","Kvemo Kartli",-0.3753
"Industry",2022,"Median","Kvemo Kartli",-0.3996
"Services",2022,"Median","Kvemo Kartli",-0.0874
"Agriculture",2022,"Median","Guria",-1.3156
"Industry",2022,"Median","Guria",-0.4602
"Services",2022,"Median","Guria",-0.1083
"Agriculture",2022,"Median","Tbilisi",-0.8383
"Industry",2022,"Median","Tbilisi",-0.4057
"Services",2022,"Median","Tbilisi",-0.1164
"Agriculture",2022,"Median","Imereti",-0.8383
"Industry",2022,"Median","Imereti",-0.702
"Services",2022,"Median","Imereti",-0.0855
"Agriculture",2023,"Warm/Wet","Abkhazia",-1.04
"Industry",2023,"Warm/Wet","Abkhazia",-0.488
"Services",2023,"Warm/Wet","Abkhazia",-0.1025
"Agriculture",2023,"Warm/Wet","Samegrelo-Zemo Svaneti",-2.6341
"Industry",2023,"Warm/Wet","Samegrelo-Zemo Svaneti",-1.2417
"Services",2023,"Warm/Wet","Samegrelo-Zemo Svaneti",-0.454
"Agriculture",2023,"Warm/Wet","Shida Kartli",-0.1912
"Industry",2023,"Warm/Wet","Shida Kartli",-0.0592
"Services",2023,"Warm/Wet","Shida Kartli",-0.0096
"Agriculture",2023,"Warm/Wet","Racha-Lechkhumi-Kvemo Svaneti",-1.1796
"Industry",2023,"Warm/Wet","Racha-Lechkhumi-Kvemo Svaneti",-0.8384
"Services",2023,"Warm/Wet","Racha-Lechkhumi-Kvemo Svaneti",-0.1184
"Agriculture",2023,"Warm/Wet","Mtskheta-Mtianeti",-0.334
"Industry",2023,"Warm/Wet","Mtskheta-Mtianeti",-0.1768
"Services",2023,"Warm/Wet","Mtskheta-Mtianeti",-0.0228
"Agriculture",2023,"Warm/Wet","Kakheti",-1.576
"Industry",2023,"Warm/Wet","Kakheti",-0.5177
"Services",2023,"Warm/Wet","Kakheti",-0.1489
"Agriculture",2023,"Warm/Wet","Samtskhe-Javakheti",-0.0663
"Industry",2023,"Warm/Wet","Samtskhe-Javakheti",-0.0224
"Services",2023,"Warm/Wet","Samtskhe-Javakheti",-0.0049
"Agriculture",2023,"Warm/Wet","Ajaria",-1.0494
"Industry",2023,"Warm/Wet","Ajaria",-0.1783
"Services",2023,"Warm/Wet","Ajaria",-0.0494
"Agriculture",2023,"Warm/Wet","Kvemo Kartli",-0.4399
"Industry",2023,"Warm/Wet","Kvemo Kartli",-0.4526
"Services",2023,"Warm/Wet","Kvemo Kartli",-0.0925
"Agriculture",2023,"Warm/Wet","Guria",-2.3735
"Industry",2023,"Warm/Wet","Guria",-0.9435
"Services",2023,"Warm/Wet","Guria",-0.2504
"Agriculture",2023,"Warm/Wet","Tbilisi",-0.9983
"Industry",2023,"Warm/Wet","Tbilisi",-0.46
"Services",2023,"Warm/Wet","Tbilisi",-0.1222
"Agriculture",2023,"Warm/Wet","Imereti",-1.406
"Industry",2023,"Warm/Wet","Imereti",-0.9146
"Services",2023,"Warm/Wet","Imereti",-0.1504
"Agriculture",2023,"Hot/Dry","Abkhazia",-0.9109
"Industry",2023,"Hot/Dry","Abkhazia",-0.4155
"Services",2023,"Hot/Dry","Abkhazia",-0.0835
"Agriculture",2023,"Hot/Dry","Samegrelo-Zemo Svaneti",-2.755
"Industry",2023,"Hot/Dry","Samegrelo-Zemo Svaneti",-1.3308
"Services",2023,"Hot/Dry","Samegrelo-Zemo Svaneti",-0.4913
"Agriculture",2023,"Hot/Dry","Shida Kartli",-0.2097
"Industry",2023,"Hot/Dry","Shida Kartli",-0.0599
"Services",2023,"Hot/Dry","Shida Kartli",-0.0103
"Agriculture",2023,"Hot/Dry","Racha-Lechkhumi-Kvemo Svaneti",-1.2482
"Industry",2023,"Hot/Dry","Racha-Lechkhumi-Kvemo Svaneti",-0.9623
"Services",2023,"Hot/Dry","Racha-Lechkhumi-Kvemo Svaneti",-0.1354
"Agriculture",2023,"Hot/Dry","Mtskheta-Mtianeti",-0.4223
"Industry",2023,"Hot/Dry","Mtskheta-Mtianeti",-0.2243
"Services",2023,"Hot/Dry","Mtskheta-Mtianeti",-0.0314
"Agriculture",2023,"Hot/Dry","Kakheti",-1.7748
"Industry",2023,"Hot/Dry","Kakheti",-0.6105
"Services",2023,"Hot/Dry","Kakheti",-0.1775
"Agriculture",2023,"Hot/Dry","Samtskhe-Javakheti",-0.0636
"Industry",2023,"Hot/Dry","Samtskhe-Javakheti",-0.0185
"Services",2023,"Hot/Dry","Samtskhe-Javakheti",-0.0039
"Agriculture",2023,"Hot/Dry","Ajaria",-1.0846
"Industry",2023,"Hot/Dry","Ajaria",-0.1741
"Services",2023,"Hot/Dry","Ajaria",-0.0495
"Agriculture",2023,"Hot/Dry","Kvemo Kartli",-0.5816
"Industry",2023,"Hot/Dry","Kvemo Kartli",-0.6246
"Services",2023,"Hot/Dry","Kvemo Kartli",-0.139
"Agriculture",2023,"Hot/Dry","Guria",-2.4266
"Industry",2023,"Hot/Dry","Guria",-0.9548
"Services",2023,"Hot/Dry","Guria",-0.2516
"Agriculture",2023,"Hot/Dry","Tbilisi",-1.2919
"Industry",2023,"Hot/Dry","Tbilisi",-0.6342
"Services",2023,"Hot/Dry","Tbilisi",-0.1838
"Agriculture",2023,"Hot/Dry","Imereti",-1.3957
"Industry",2023,"Hot/Dry","Imereti",-1.0261
"Services",2023,"Hot/Dry","Imereti",-0.1605
"Agriculture",2023,"Median","Abkhazia",-0.7119
"Industry",2023,"Median","Abkhazia",-0.3344
"Services",2023,"Median","Abkhazia",-0.0647
"Agriculture",2023,"Median","Samegrelo-Zemo Svaneti",-2.1319
"Industry",2023,"Median","Samegrelo-Zemo Svaneti",-1.0133
"Services",2023,"Median","Samegrelo-Zemo Svaneti",-0.3543
"Agriculture",2023,"Median","Shida Kartli",-0.1997
"Industry",2023,"Median","Shida Kartli",-0.0628
"Services",2023,"Median","Shida Kartli",-0.0116
"Agriculture",2023,"Median","Racha-Lechkhumi-Kvemo Svaneti",-1.0019
"Industry",2023,"Median","Racha-Lechkhumi-Kvemo Svaneti",-0.8772
"Services",2023,"Median","Racha-Lechkhumi-Kvemo Svaneti",-0.1111
"Agriculture",2023,"Median","Mtskheta-Mtianeti",-0.3783
"Industry",2023,"Median","Mtskheta-Mtianeti",-0.1974
"Services",2023,"Median","Mtskheta-Mtianeti",-0.0283
"Agriculture",2023,"Median","Kakheti",-1.7783
"Industry",2023,"Median","Kakheti",-0.6072
"Services",2023,"Median","Kakheti",-0.1859
"Agriculture",2023,"Median","Samtskhe-Javakheti",-0.0628
"Industry",2023,"Median","Samtskhe-Javakheti",-0.017
"Services",2023,"Median","Samtskhe-Javakheti",-0.0034
"Agriculture",2023,"Median","Ajaria",-0.6832
"Industry",2023,"Median","Ajaria",-0.0917
"Services",2023,"Median","Ajaria",-0.0253
"Agriculture",2023,"Median","Kvemo Kartli",-0.552
"Industry",2023,"Median","Kvemo Kartli",-0.5783
"Services",2023,"Median","Kvemo Kartli",-0.1326
"Agriculture",2023,"Median","Guria",-1.7453
"Industry",2023,"Median","Guria",-0.6576
"Services",2023,"Median","Guria",-0.1675
"Agriculture",2023,"Median","Tbilisi",-1.1674
"Industry",2023,"Median","Tbilisi",-0.586
"Services",2023,"Median","Tbilisi",-0.1735
"Agriculture",2023,"Median","Imereti",-1.059
"Industry",2023,"Median","Imereti",-0.8979
"Services",2023,"Median","Imereti",-0.1129
"Agriculture",2024,"Warm/Wet","Abkhazia",-0.7333
"Industry",2024,"Warm/Wet","Abkhazia",-0.3256
"Services",2024,"Warm/Wet","Abkhazia",-0.0675
"Agriculture",2024,"Warm/Wet","Samegrelo-Zemo Svaneti",-1.7938
"Industry",2024,"Warm/Wet","Samegrelo-Zemo Svaneti",-0.8268
"Services",2024,"Warm/Wet","Samegrelo-Zemo Svaneti",-0.2765
"Agriculture",2024,"Warm/Wet","Shida Kartli",-0.1082
"Industry",2024,"Warm/Wet","Shida Kartli",-0.0384
"Services",2024,"Warm/Wet","Shida Kartli",-0.0061
